county,age,count
Cerro Gordo,18-40,1
Clayton,81+,1
Clinton,18-40,1
Dallas,18-40,1
Dallas,61-80,1
Des Moines,41-60,1
Dubuque,41-60,1
Harrison,61-80,1
Henry,18-40,1
Henry,61-80,1
Iowa,18-40,1
Jasper,41-60,1
Johnson,18-40,1
Johnson,41-60,1
Johnson,61-80,1
Linn,18-40,2
Linn,41-60,2
Madison,61-80,1
Mitchell,41-60,2
Muscatine,41-60,1
Muscatine,61-80,1
O'Brien,41-60,1
O'Brien,61-80,1
Polk,41-60,1
Polk,61-80,3
Polk,81+,1
Pottawattamie,0-17,1
Poweshiek,61-80,1
Scott,41-60,2
Scott,18-40,1
Story,61-80,2
Tama,41-60,1
Tama,61-80,2
Van Buren,61-80,1
Warren,18-40,1
Washington,18-40,1
Washington,41-60,5
Washington,61-80,2
Washington,81+,1
